惊悚乐园	Kinh hãi thiên đường
黑夜将至	Đêm đen sắp đến
随身带个侏罗纪	Tùy thân mang cái kỷ Jura
生活系游戏	Sinh hoạt hệ trò chơi
欢迎来到BOSS队	Hoan nghênh đi tới BOSS đội
剑与魔法与出租车	Kiếm cùng Ma Pháp cùng Xe Taxi
重生之平行线	Trùng sinh chi đường song song
从零开始的穿越女	Bắt đầu từ không xuyên việt nữ
荣耀法兰西	Nước Pháp vinh quang
觉醒－仿如昨日	Thức tỉnh - Phảng như hôm qua
范进的平凡生活	Cuộc sống tầm thường của Phạm Tiến
科技王座	Khoa kỹ vương tọa
烽火逃兵	Phong hỏa đào binh
地狱公寓	Địa ngục nhà trọ
韩娱之光影交错	K-biz chi Quang ảnh giao thoa
曙光纪元	Rạng đông kỷ nguyên
生于1984	Sống tại 1984
宋时归	Tống thời quy
低维游戏	Tầng thấp trò chơi
帝国从来没有神圣的	Đế quốc chưa bao giờ có thần thánh thế
我只想当一个安静的学霸	Ta chỉ muốn làm một cái an tĩnh học bá
必然王国到自由王国	Vương quốc tất nhiên đến vương quốc tự do
重燃	Châm lại
火影之救世主	NARUTO chi Cứu thế chủ
日在火影	Ngày ở NARUTO
崩坏星河	Sụp đổ tinh hà
丝路大亨	Trùm đường tơ lụa
地下城生长日志	Địa hạ thành sinh trưởng nhật chí
绝对死亡游戏	Tuyệt đối tử vong trò chơi
重回初三	Trùng hồi sơ tam
变成血族是什么体验	Biến thành huyết tộc là cái gì thể nghiệm
这里有妖气	Nơi này có yêu khí
清穿日常	Thanh xuyên thường ngày
台湾娱乐1971	Giải trí Đài Loan 1971
东京警事	Tokyo cảnh sự
好莱坞之路	Hollywood chi lộ
老衲还年轻	Lão nạp còn trẻ tuổi
异界征服手册	Dị giới chinh phục sổ tay
世界那么大	Thế giới như vậy lớn
水浒求生记	Thủy Hử cầu sinh ký
我的女友是丧尸	Bạn gái của ta là tang thi
哈利波特之我是传奇	Harry Potter chi ta là truyền kỳ
知否？知否？应是绿肥红瘦	Biết không? Biết không? Ứng là béo xanh gầy đỏ
从1983开始	Theo 1983 bắt đầu
绿龙筑巢记	Lục Long xây tổ ký
和空姐同居的日子	Cùng nữ tiếp viên hàng không ở chung cuộc sống
革命吧女神	Cách mạng nha nữ thần
暗影神座	Ám ảnh thần tọa
聊斋好莱坞	Liêu trai Hollywood
美剧世界大冒险	Phim Mỹ thế giới đại mạo hiểm
我成了一条锦鲤	Ta biến thành một con cá chép
学霸也要谈恋爱	Học bá cũng muốn nói yêu thương
非人类基因统合体	Phi nhân loại gien thống hợp thể
重生之乡路漫长	Trùng sinh chi hương lộ mạn trưởng
这世界的土著好凶猛	Dân bản địa thế giới này thật hung mãnh
请叫我邪神大人	Mời kêu ta Tà Thần đại nhân
神座崛起	Thần tọa quật khởi
模拟人生者	Kẻ bắt chước đời người
奈格里之魂	Negri chi hồn
奥古斯都之路	Augustus chi lộ
皇家娱乐指南	Hoàng gia giải trí chỉ nam
山那边的领主	Bên kia núi lãnh chúa
汉儿不为奴	Trai Hán không làm nô
人生长恨水长东	Nhân sinh trường hận thủy trường đông
重生之等你长大	Trùng sinh chi chờ ngươi lớn lên
终极大神进化论	Chung cực đại thần tiến hóa luận
她们说我是剑侠	Các nàng nói ta là kiếm hiệp
荣飞的梦幻人生	Vinh Phi ảo mộng đời người
抢救大明朝	Cấp cứu Đại Minh Triều
名侦探世界里的巫师	Vu sư tại thế giới CONAN
没时间了快上车	Hết thời gian rồi nhanh lên xe
危险拍档	Nguy hiểm partner
在漫威当超级英雄的那些年	Tại Marvel đương siêu anh hùng những năm kia
恐慌沸腾	Khủng hoảng sôi trào
搬山	Chuyển núi
一刀劈开生死路	Một đao bổ ra sinh tử lộ
我还能活多久	Ta còn có thể sống bao lâu
改革开放魔法界[综英美]	Cải cách mở ra ma pháp giới [Tổng Anh Mỹ]
临时监护人	Người giám hộ tạm thời
游戏开发指南	Trò chơi khai phá chỉ nam
还你六十年	Trả ngươi sáu mươi năm
1980之他来自未来	1980 chi hắn tới từ tương lai
大宋的智慧	Trí tuệ của Đại Tống
娱乐之荒野食神	Giải trí chi hoang dã thực thần
咸鱼的自救攻略	Tự cứu công lược của cá mắm
斗神武装	Đấu thần võ trang
最佳娱乐时代	Tốt nhất giải trí thời đại
都市模拟人生	Đô thị mô phỏng nhân sinh
全球巨星从练习生开始	Toàn cầu cự tinh theo luyện tập sinh bắt đầu
无限作死	Vô hạn tìm đường chết
仙道求索	Tiên đạo cầu sách
我的女神是只猫	Nữ thần của ta là con mèo
古希腊之地中海霸主	Cổ Hy Lạp chi Địa Trung Hải bá chủ
穿到明朝考科举	Xuyên đến Minh Triều khảo khoa cử
[综]直播破案现场	[Tổng] Phát trực tiếp phá án hiện trường
熟睡之后	Ngủ say về sau
二十面骰子	Xúc xắc hai mươi mặt
魏野仙踪	Ngụy dã tiên tung
蒸汽朋克下的神秘世界	Thần bí thế giới dưới Steampunk
穿越者穿越了穿越者	Kẻ xuyên việt xuyên qua rồi kẻ xuyên việt
火影之水遁最强	NARUTO chi thủy độn mạnh nhất
我是虚拟现实游戏公司总裁	Ta là CEO công ty game giả thuyết hiện thực
光头武僧在都市	Đầu trọc vũ tăng tại đô thị
龙套传奇	Áo rồng truyền kỳ
同学两亿岁	Đồng học hai trăm triệu tuổi
相声大师	Tướng thanh đại sư
人渣的胁迫	Bức hiếp của cặn bã
星级猎人	Tinh cấp thợ săn
妖怪公寓	Nhà trọ yêu quái
超级卡牌系统	Siêu cấp thẻ bài hệ thống
花开美利坚	Hoa nở Hoa Kỳ
我要做门阀	Ta muốn làm môn phiệt
离天大圣	Ly Thiên Đại Thánh
我的妹妹是COSER?	Muội muội của ta là COSER?
生化之末世传说	Sinh hóa chi mạt thế truyền thuyết
剑灵同居日记	Kiếm linh ở chung nhật ký
木兰无长兄	Mộc Lan vô trưởng huynh
恶灵附身	Ác linh nhập vào thân
系统误我终身	Hệ thống lầm ta chung thân
重生之财源滚滚	Trùng sinh chi tài nguyên cuồn cuộn
我在末世有套房	Ta tại mạt thế có phòng xép
横行霸道	Hoành hành bá đạo
一点也不超级的机器人大战	Một điểm cũng không siêu cấp người máy đại chiến
重生之地产大亨	Trùng sinh chi trùm địa sản
[快穿]其实我有一颗反派的心	[Khoái xuyên] Kỳ thực ta có một khỏa phản phái tâm
命运的抉择	Lựa chọn của vận mệnh
天朝笑林拾遗	Thiên triều tiếu lâm bổ sót
东京绅士物语	Tokyo thân sĩ vật ngữ
电视剧世界	Kịch truyền hình thế giới
官道无疆	Quan đạo vô cương
狩魔猎人的异世之旅	Witcher dị giới hành trình
退后让为师来	Lùi về nhượng vi sư đến
沧海	Biển biếc
诸界末日在线	Nhiều thế giới tận thế tại tuyến
原血神座	Nguyên huyết thần tọa
伯符的恐怖故事集0	Bá Phù khủng bố câu chuyện tập 0
情与血	Tình cùng máu
火影之传说	NARUTO chi truyền thuyết
带着火影重生日本东京	Mang theo NARUTO sống lại Nhật Bản Tokyo
我的魔法时代	Ma pháp thời đại của ta
与婠婠同居的日子	Những ngày cùng Loan Loan ở chung
末日之划水大师	Mạt nhật chi hoạch thủy đại sư
我当上帝那些事儿	Ta làm thượng đế một chút sự tình kia
我的妹妹是偶像	Muội muội của ta là thần tượng
我师兄实在太稳健了	Sư huynh của ta thực sự quá vững vàng rồi
我身体里有只鬼	Trong thân thể ta có con quỷ
重启高一	Trọng khải cao nhất
漫步在武侠世界	Đi dạo tại Võ Hiệp Thế Giới
我的女神	Nữ thần của ta
跨界闲品店	Khóa giới nhàn phẩm điếm
主神的猥琐继承人	Người thừa kế hèn hạ của chủ thần
大魏宫廷	Đại Ngụy cung đình
死神逃学日记	Tử Thần trốn học nhật ký
时尚大撕	Thời thượng lớn xé
娱乐掌控者	Giải trí chưởng khống giả
漫威世界的术士	Marvel thế giới thuật sĩ
我能看见状态栏	Ta có thể trông thấy trạng thái lan
火焰王子	Hỏa diễm vương tử
霍格沃茨的魔文教授	Hogwarts Ma văn giáo sư
我真是个富二代	Ta thật là cái phú nhị đại
我当阴阳先生的那几年	Ta đương âm dương tiên sinh vài năm kia
天才医生	Thầy thuốc thiên tài
冠绝新汉朝	Quan tuyệt Tân Hán Triều
无限之高端玩家	Vô hạn chi cao đoan người chơi
网游之学习雷锋好榜样	Võng du chi học tập Lôi Phong gương tốt
回到明朝当暴君	Trở lại Minh triều đương bạo quân
官商	Nghiệp quan
醉枕江山	Túy chẩm giang sơn
朝阳警事	Triều dương cảnh sự
我的女友是仙子	Bạn gái của ta là tiên tử
鬼吹灯II	Ma thổi đèn II
无限英灵神座	Vô hạn anh linh thần tọa
球在脚下	Bóng tại dưới chân
匹夫的逆袭	Thất phu nghịch tập
在不正常的地球开餐厅的日子	Cuộc sống mở phòng ăn tại không bình thường Địa Cầu
求索	Truy cầu
读书成圣	Đọc sách thành thánh
影视世界当神探	Phim ảnh thế giới đương thần thám
时空棋局	Thời không bàn cờ
奋斗吧，加夫里尔	Phấn đấu nha, Gavril
我是大玩家	Ta là đại ngoạn gia
我家客厅有个副本	Nhà ta phòng khách có cái phó bản
我要出租自己	Ta muốn cho thuê bản thân
学霸的星辰大海	Học bá mênh mông sao trời
影视世界旅行家	Phim ảnh thế giới nhà lữ hành
然后我成为了猎人	Tiếp đó ta đã trở thành thợ săn
热闹喧嚣的彪悍人生	Náo nhiệt ồn ào náo động dũng mãnh đời người
我的民国不可能这么萌	Dân quốc của ta không có khả năng manh như vậy
穿越时空的蝴蝶	Xuyên qua thời không hồ điệp
恶魔就在身边	Ác ma liền tại bên người
底牌	Bài đáy
猎网	Lưới săn
战国之上杉姐的家臣	Chiến quốc chi Thượng Sam Tỷ gia thần
我就是巫妖	Ta liền là vu yêu
回到21世纪	Trở lại 21 thế kỷ
编程之战	Lập trình chi chiến
万界圆梦师	Vạn giới giải mộng sư
末世收割者	Mạt thế kẻ thu hoạch
九州·缥缈录	Cửu Châu · Phiếu Miểu Lục
迷失在白垩纪	Lạc hướng tại kỷ Phấn Trắng
我开动物园那些年	Ta mở vườn bách thú những năm kia
地狱电影院	Địa ngục rạp chiếu phim
长风万里尽汉歌	Trưởng phong vạn lý tận hán ca
修真-师姐的剑	Tu chân - Kiếm của sư tỷ
我是杀毒软件	Ta là phần mềm diệt virus
战锤神座	Chiến chùy thần tọa
重生支配者	Trùng sinh kẻ chi phối
天才相师	Thiên tài thầy tướng
1640四海扬帆	1640 Tứ hải giương buồm
二次元黄毛系统	Nhị thứ nguyên lông vàng hệ thống
篮坛教皇	Giới bóng rổ Giáo hoàng
法师故事	Câu chuyện pháp sư
我真不是神仙	Ta thật không phải thần tiên
玩家之心	Người chơi chi tâm
重塑人生三十年	Cải tạo đời người ba mươi năm
网游之以德服人	Võng du chi lấy đức thu phục người
时轮，命轮	Thời luân, mệnh luân
末世第十年	Mạt thế năm thứ mười
末日在线	Tận thế tại tuyến
超级写轮眼	Siêu cấp Sharingan
死灵博物馆	Tử linh nhà bảo tàng
真髓	Chân tủy
反叛的大魔王	Phản loạn Đại Ma Vương
若水向东流	Như nước Hướng Đông Lưu
咸鱼翻身的正确姿势	Cá mắm xoay người chính xác tư thế
南北杂货	Nam bắc tạp hóa
感染体	Lây nhiễm thể
医师1879	Thầy thuốc 1879
星媒舵手	Tinh môi tài công
毛泽东思想、邓小平理论和“三个代表”重要思想概论	Mao Trạch Đông tư tưởng, Đặng Tiểu Bình lý luận cùng “Ba cái đại biểu” trọng yếu tư tưởng khái luận
羔羊	Dê non
法爷毕业指南	Pháp gia tốt nghiệp chỉ nam
先砍一刀	Trước khảm một đao
1949我来自未来	1949 Ta đến từ tương lai
都市美女狩猎者	Đô thị mỹ nữ kẻ săn thú
战锤40k之远东风暴	Chiến chùy 40k chi viễn đông phong bạo
美利坚财富人生	Hoa Kỳ tài phú đời người
变身路人女主	Biến thân người qua đường nữ chủ
第七颗头骨	Đệ thất khỏa đầu cốt
灰暗之年	Khôi ám chi niên
超级探险直播	Siêu cấp thám hiểm phát trực tiếp
每天都在征服情敌	Mỗi ngày đều tại chinh phục tình địch
穿越到游戏商店	Xuyên qua đến trò chơi cửa hàng
篮球之上帝之鞭	Bóng rổ phía trên đế chi roi
重生之女神养成计划	Trùng sinh chi nữ thần dưỡng thành kế hoạch
重生之激情燃烧岁月	Trùng sinh chi kích tình thiêu đốt tuế nguyệt
濒危修仙门派考察报告	Lâm nguy tu tiên môn phái khảo sát báo cáo
杀出矩阵：起源	Giết ra cự trận: Khởi nguyên
我的成就有点多	Thành tựu của ta có điểm nhiều
方外：消失的八门	Phương ngoại: Bát môn tan biến
老婆爱上我	Lão bà yêu lên ta
幻想乡玩家	Gensōkyō người chơi
重生潜入梦	Trùng sinh lẻn vào mộng
无限之绝对疯狂	Vô hạn chi tuyệt đối điên cuồng
面具的肖像画	Mặt nạ tranh chân dung
人间无数雨打去	Nhân gian vô số mưa đánh tới
颜值就是正义	Nhan trị liền là chính nghĩa
网游之混迹在美女工作室	Võng du chi trà trộn tại mỹ nữ phòng làm việc
我的苏联	Soviet của ta
水银之血	Thủy ngân chi huyết
本港风情画	Bản cảng phong tình họa
我夺舍了魔皇	Ta đã đoạt xác Ma Hoàng
穿的是种态度	Xuyên chính là loại thái độ
盛唐烟云	Thịnh Đường mây khói
魔潮起时	Ma triều khởi thời
偷香	Trộm hương
克里姆林宫的狼人	Khắc lý mẫu lâm cung đích lang nhân
佣兵的战争	Lính đánh thuê chiến tranh
重生九二之商业大亨	Trùng sinh chín hai chi thương nghiệp trùm
无限流传染病	Vô hạn lưu bệnh truyền nhiễm
潘神的游戏	Trò chơi của Pan
地球上最后一个修道者	Trên địa cầu cuối cùng một kẻ tu đạo
重生之聂小倩	Trùng sinh chi Nhiếp Tiểu Thiến
当个法师闹革命	Làm cái pháp sư náo cách mạng
打开方式错误的异世界	Thế giới khác mở ra phương thức sai lầm
星尘武装	Tinh trần võ trang
明朝伪君子	Minh triều ngụy quân tử
七十年代学霸	Năm 70 đại học bá
女帝直播攻略	Nữ Đế phát trực tiếp công lược
舔出个未来！	Liếm ra một tương lai!
六朝时空神仙传	Lục triều thời không thần tiên truyện
我是大法师	Ta là đại pháp sư
仙道长青	Tiên đạo trường thanh
精分写手成神记	Tay viết tâm thần thành thần ký
破庙有神仙	Miếu đổ nát có thần tiên
别拿穿越不当工作	Đừng cầm xuyên qua không là công tác
浪迹在武侠世界的道士	Lưu lạc tại Võ Hiệp Thế Giới đạo sĩ
大航海时代的德鲁伊	Lớn hàng hải thời đại Druid
没有来生	Không có kiếp sau
红男绿女	Trai thanh gái lịch
奶爸的文艺人生	Vú em văn nghệ đời người
来自瓦歌世界的琥珀	Lai tự ngõa ca thế giới đích hổ phách
网游之一枪爆头	Võng du chi nhất thương bạo đầu
我的时空旅舍	Ngã đích thời không lữ xá
笔下的另一个世界	Dưới ngòi bút một cái thế giới khác
我是幸存者	Ta là người sống sót
数据侠客行	Số liệu Hiệp Khách Hành
静州往事	Tĩnh châu chuyện cũ
我，旧日支配者	Ta, ngày xưa kẻ chi phối
我的青春恋爱物语没有问题	Câu chuyện thanh xuân luyến ái của ta không có vấn đề
重生六零好时光	Trùng sinh lục linh hảo thời quang
星空倒影	Trời sao ảnh ngược
超级指环王	Siêu cấp Chúa Nhẫn
重铸未来	Đúc lại tương lai
他改变了大明	Hắn đã thay đổi Đại Minh
第一序列	Đệ nhất danh sách
职业粉丝	Chuyên nghiệp fan hâm mộ
我们是冠军	Chúng ta là quán quân
就算是龙也没问题	Liền tính là rồng cũng không thành vấn đề
随身装着一口泉	Tùy thân trang lấy một hơi tuyền
间桐慎二之我还能活多久	Matou Shinji chi ta còn có thể sống bao lâu
[综]天生反派	[Tổng] Trời sinh phản phái
大唐新秩序	Đại Đường trật tự mới
东瀛娱乐家	Đông doanh ngu nhạc gia
火影之朝佚千名	Hỏa ảnh chi triều dật thiên danh
重生之恶魔猎人	Trùng sinh chi ác ma thợ săn
凤凰面具	Phượng hoàng mặt nạ
重生日本的我，在灵异剧里开无双	Trùng sinh Nhật Bản ta, tại thần quái kịch bên trong mở vô song
武林高手在校园	Võ lâm cao thủ tại vườn trường
贞观大闲人	Trinh Quán đại nhàn nhân
我才不要恋爱游戏	Ta mới không cần luyến ái trò chơi
颠覆笑傲江湖	Lật nhào Tiếu Ngạo Giang Hồ
Re:从零开始的黄毛君	Re: Bắt đầu từ không lông vàng quân
带着仓库到大明	Mang theo kho hàng đến Đại Minh
海贼盖伦	Hải tặc Gehlen
第一战场指挥官！	Đệ nhất chiến trường quan chỉ huy!
还看今朝	Còn xem sáng nay
海贼之胜者为王	Hải tặc chi người thắng làm vua
失落的王权	Thất lạc vương quyền
黑巫师和异端裁判者	Hắc vu sư hòa dị đoan tài phán giả
重返1977	Quay lại 1977
重生美国大亨	Trùng sinh thành trùm nước Mỹ
梦想进化	Mộng tưởng tiến hóa
游戏之狩魔猎人	Trò chơi chi săn ma thợ săn
超级娱乐王朝	Siêu cấp giải trí vương triều
致四千年后	Gửi bốn ngàn năm sau
系统的黑科技网吧	Hệ thống khoa học đen quán net
不可名状的日记簿	Sổ nhật ký không thể diễn tả
转生眼中的火影世界	Chuyển sinh trong mắt NARUTO thế giới
苏联1991	Soviet 1991
穷鬼的上下两千年	Nghèo kiết xác xuôi ngược hai ngàn năm
型月幻想乡的超越者	Type-Moon Gensōkyō siêu việt giả
手术直播间	Phòng phẫu thuật phát trực tiếp
女难之相的端木同学	Nữ nan chi tướng đích Đoan Mộc đồng học
未来游戏创始人	Người sáng lập tương lai trò chơi
美国奴隶主	Nước Mỹ chủ nô
某科学的火影忍者	Mỗ khoa học đích NARUTO nhẫn giả
小市民的奋斗	Tiểu thị dân phấn đấu
听说我死后超凶的	Nghe nói sau khi ta chết thật rất hung
蛆蝇尸海剑	Giòi nhặng biển xác kiếm
冰与火之歌：大枭雄	Game of Thrones: Đại hiêu hùng
我的美女大小姐	Mỹ nữ đại tiểu thư của ta
快穿之打脸狂魔	Khoái xuyên chi đánh mặt cuồng ma
宋时明月	Tống thời minh nguyệt
主神的自我修养	Chủ thần tự mình tu dưỡng
我家的剑仙大人	Kiếm Tiên đại nhân của nhà ta
这锅我不背	Này nồi ta không cõng
大数据世界	Thế giới dữ liệu lớn
里表世界	Thế giới mặt trong
死在火星上	Chết ở trên sao Hỏa
你为何召唤我	Ngươi vì sao triệu hoán ta
抗日之幸存者	Kháng Nhật chi người sống sót
金庸世界里的道士	Đạo sĩ trong thế giới Kim Dung
哈利波特的防御术课教授	Harry Potter giáo sư lớp phòng ngự thuật
时空之门1619	Thời Không Chi Môn 1619
深渊之主	Vực sâu chi chủ
仙侠世界的日常	Tiên hiệp thế giới hằng ngày
地上最强生物	Trên mặt đất mạnh nhất sinh vật
飞越泡沫时代	Bay qua bọt biển thời đại
深渊骑士	Vực sâu kỵ sĩ
有妖气客栈	Có yêu khí khách sạn
无限之军火狂人	Vô hạn chi quân hỏa cuồng nhân
无限生存游戏	Vô hạn sinh tồn trò chơi
哈利波特与秘密宝藏	Harry Potter cùng Bí mật bảo tàng
太阳的距离	Cự ly tới mặt trời
四面墙（我的狱中生活）	Tứ diện tường (sinh hoạt trong ngục của ta)
祸具召唤师	Họa cụ triệu hoán sư
