惊悚乐园	Kinh hãi thiên đường
非人类基因统合体	Thể thống hợp gien phi nhân loại
重生之乡路漫长	Trùng sinh: Đường quê dằng dặc
这世界的土著好凶猛	Dân bản địa thế giới này thật hung mãnh
请叫我邪神大人	Mời kêu ta Tà Thần đại nhân
神座崛起	Quật khởi thần toạ
模拟人生者	Kẻ bắt chước đời người
奈格里之魂	Linh hồn Negri
奥古斯都之路	Con đường Augustus
皇家娱乐指南	Sách hướng dẫn giải trí Hoàng gia
山那边的领主	Lãnh chúa bên kia núi
汉儿不为奴	Trai Hán không làm nô
人生长恨水长东	Nhân sinh trường hận thuỷ trường đông
重生之等你长大	Trùng sinh: Chờ ngươi lớn lên
终极大神进化论	Chung cực đại thần tiến hoá luận
她们说我是剑侠	Các nàng nói ta là kiếm hiệp
荣飞的梦幻人生	đời người ảo mộng của Vinh Phi
抢救大明朝	Cấp cứu Đại Minh Triều
名侦探世界里的巫师	Vu sư tại thế giới CONAN
没时间了快上车	Hết thời gian rồi nhanh lên xe
危险拍档	Partner nguy hiểm
在漫威当超级英雄的那些年	Những năm kia tại Marvel làm siêu anh hùng
恐慌沸腾	Khủng hoảng sôi trào
搬山	Chuyển núi
一刀劈开生死路	Một đao bổ ra đường sinh tử
我还能活多久	Ta còn có thể sống bao lâu
改革开放魔法界[综英美]	Cải cách mở ra giới ma pháp [Tổng Anh Mỹ]
临时监护人	Người giám hộ tạm thời
游戏开发指南	Sách hướng dẫn khai phá trò chơi
还你六十年	Trả ngươi sáu mươi năm
1980之他来自未来	1980: Hắn tới từ tương lai
大宋的智慧	Trí tuệ của Đại Tống
娱乐之荒野食神	Giải trí: Hoang dã thực thần
咸鱼的自救攻略	Sách công lược tự cứu của cá muối
斗神武装	Đấu thần võ trang
最佳娱乐时代	Thời đại giải trí tốt nhất
都市模拟人生	Đời người giả thuyết đô thị
全球巨星从练习生开始	Toàn cầu cự tinh theo luyện tập sinh bắt đầu
无限作死	Vô hạn tìm đường chết
仙道求索	Truy cầu tiên đạo
我的女神是只猫	Nữ thần của ta là con mèo
古希腊之地中海霸主	Cổ Hy Lạp: Bá chủ Địa Trung Hải
穿到明朝考科举	Xuyên đến Minh Triều thi khoa cử
[综]直播破案现场	[Tổng] Hiện trường phá án phát trực tiếp
熟睡之后	Sau khi ngủ say
二十面骰子	Xúc xắc hai mươi mặt
魏野仙踪	Nguỵ dã tiên tung
蒸汽朋克下的神秘世界	Thần bí thế giới dưới Steampunk
穿越者穿越了穿越者	Kẻ xuyên việt đã xuyên qua kẻ xuyên việt
火影之水遁最强	NARUTO: Thuỷ độn mạnh nhất
我是虚拟现实游戏公司总裁	Ta là CEO công ty game AR
光头武僧在都市	Vũ tăng đầu trọc ở đô thị
龙套传奇	Truyền kỳ đào kép
同学两亿岁	Đồng học hai trăm triệu tuổi
相声大师	Thầy tướng thanh
人渣的胁迫	Bức hiếp của rác rưởi
星级猎人	Thợ săn cấp tinh cầu
妖怪公寓	Nhà trọ yêu quái
超级卡牌系统	Hệ thống thẻ bài siêu cấp
花开美利坚	Hoa nở Hoa Kỳ
我要做门阀	Ta muốn làm môn phiệt
离天大圣	Ly Thiên Đại Thánh
我的妹妹是COSER?	Em gái của ta là COSER?
生化之末世传说	Sinh hoá: Truyền thuyết mạt thế
剑灵同居日记	Nhật ký ở chung kiếm linh
木兰无长兄	Mộc Lan không huynh trưởng
恶灵附身	Ác linh nhập vào thân
系统误我终身	Hệ thống hại ta cả đời
重生之财源滚滚	Trùng sinh: Tài nguyên cuồn cuộn
我在末世有套房	Ta ở mạt thế có căn hộ
横行霸道	Hoành hành bá đạo
一点也不超级的机器人大战	Đại chiến người máy một điểm cũng không siêu cấp
重生之地产大亨	Trùng sinh: Trùm địa sản
[快穿]其实我有一颗反派的心	[Xuyên nhanh] Kỳ thực ta có một trái tim phản phái
命运的抉择	Lựa chọn của vận mệnh
天朝笑林拾遗	Bổ sót truyện tiếu lâm Thiên triều
东京绅士物语	Câu truyện thân sĩ Tokyo
电视剧世界	Thế giới kịch truyền hình
官道无疆	Đường quan không biên giới
狩魔猎人的异世之旅	Hành trình dị giới của Witcher
退后让为师来	Lùi về nhường vi sư đến
沧海	Biển biếc
诸界末日在线	Nhiều thế giới tận thế tại tuyến
原血神座	Nguyên huyết thần toạ
伯符的恐怖故事集0	Bá Phù khủng bố câu chuyện tập 0
情与血	Tình và máu
火影之传说	Truyền thuyết NARUTO
带着火影重生日本东京	Mang theo NARUTO sống lại Tokyo Nhật Bản
我的魔法时代	Thời đại ma pháp của ta
与婠婠同居的日子	Những ngày ở chung với Loan Loan
末日之划水大师	Mạt nhật: Hoạch thuỷ đại sư
我当上帝那些事儿	Ta làm thượng đế những sự tình kia
我的妹妹是偶像	Em gái của ta là thần tượng
我师兄实在太稳健了	Sư huynh của ta thực sự quá vững vàng rồi
我身体里有只鬼	Trong thân thể ta có con quỷ
重启高一	Trùng khải cao nhất
漫步在武侠世界	Đi dạo tại Võ Hiệp Thế Giới
我的女神	Nữ thần của ta
跨界闲品店	Shop đồ vượt thế giới
主神的猥琐继承人	Người thừa kế hèn hạ của chủ thần
大魏宫廷	Cung đình Đại Nguỵ
死神逃学日记	Nhật ký trốn học của Tử Thần
时尚大撕	Thời thượng lớn xé
娱乐掌控者	Kẻ khống chế giải trí
漫威世界的术士	Thuật sĩ thế giới Marvel
我能看见状态栏	Ta có thể trông thấy status bar
火焰王子	Hoả diễm vương tử
霍格沃茨的魔文教授	Giáo sư Ma văn của Hogwarts
某霍格沃茨的魔文教授	Giáo sư Ma văn nào đó của Hogwarts
我真是个富二代	Ta thật là con nhà giàu
我当阴阳先生的那几年	Vài năm kia ta làm thầy âm dương
天才医生	Thầy thuốc thiên tài
冠绝新汉朝	Quan tuyệt triều Hán mới
无限之高端玩家	Vô hạn: Cao đoan người chơi
网游之学习雷锋好榜样	Game online: Học tập gương tốt của Lôi Phong
回到明朝当暴君	Trở lại triều Minh làm bạo quân
官商	Nghiệp quan
醉枕江山	Say gối giang sơn
朝阳警事	Triều dương cảnh sự
我的女友是仙子	Bạn gái của ta là tiên tử
鬼吹灯II	Ma thổi đèn II
无限英灵神座	Vô hạn anh linh thần toạ
球在脚下	Bóng tại dưới chân
匹夫的逆袭	Thất phu nghịch tập
在不正常的地球开餐厅的日子	Những ngày mở phòng ăn ở Địa Cầu không bình thường
求索	Truy cầu
读书成圣	Đọc sách thành thánh
影视世界当神探	Thế giới phim ảnh đương thần thám
时空棋局	Thời không bàn cờ
奋斗吧，加夫里尔	Phấn đấu nha, Gavril
我是大玩家	Ta là người chơi vĩ đại
我家客厅有个副本	Phòng khách nhà ta có cái phó bản
我要出租自己	Ta muốn cho thuê bản thân
学霸的星辰大海	Trời sao mênh mông của học bá
影视世界旅行家	Nhà lữ hành thế giới phim ảnh
然后我成为了猎人	Tiếp đó ta đã trở thành thợ săn
热闹喧嚣的彪悍人生	Đời người dũng mãnh náo nhiệt ồn ào
我的民国不可能这么萌	Dân quốc của ta không có khả năng manh như vậy
穿越时空的蝴蝶	Hồ điệp xuyên qua thời không
恶魔就在身边	Ác ma liền tại bên người
底牌	Bài đáy
猎网	Lưới săn
战国之上杉姐的家臣	Chiến quốc: Gia thần của Uesugi
我就是巫妖	Ta liền là vu yêu
回到21世纪	Trở lại thế kỷ 21
编程之战	Cuộc chiến lập trình
万界圆梦师	Thầy giải mộng vạn giới
末世收割者	Kẻ thu hoạch mạt thế
九州·缥缈录	Cửu Châu: Phiếu Miểu Lục
迷失在白垩纪	Lạc hướng tại kỷ Phấn Trắng
我开动物园那些年	Ta mở vườn bách thú những năm kia
地狱电影院	Rạp chiếu phim Địa ngục
修真-师姐的剑	Tu chân - Kiếm của sư tỷ
我是杀毒软件	Ta là phần mềm diệt virus
战锤神座	Chiến chuỳ thần toạ
重生支配者	Kẻ chi phối sống lại
天才相师	Thầy tướng thiên tài
1640四海扬帆	1640 Tứ hải giương buồm
二次元黄毛系统	Hệ thống lông vàng nhị thứ nguyên
篮坛教皇	Giáo hoàng Giới bóng rổ
法师故事	Câu chuyện pháp sư
我真不是神仙	Ta thật không phải thần tiên
玩家之心	Trái tim người chơi
重塑人生三十年	Ba mươi năm cải tạo đời người
网游之以德服人	Game online: Lấy đức thu phục người
时轮，命轮	Thời luân, mệnh luân
末世第十年	Mạt thế năm thứ mười
末日在线	Tận thế online
超级写轮眼	Sharingan siêu cấp
死灵博物馆	Nhà bảo tàng Tử linh
真髓	Chân tuỷ
反叛的大魔王	Đại Ma Vương phản loạn
若水向东流	Như nước trôi về đông
咸鱼翻身的正确姿势	Cá muối xoay người tư thế chính xác
南北杂货	Nam bắc tạp hoá
感染体	Thể lây nhiễm
医师1879	Thầy thuốc 1879
星媒舵手	Tinh môi tài công
毛泽东思想、邓小平理论和“三个代表”重要思想概论	Tư tưởng Mao Trạch Đông, lý luận Đặng Tiểu Bình cùng “Ba đại biểu” trọng yếu tư tưởng khái luận
羔羊	Dê non
法爷毕业指南	Sách hướng dẫn tốt nghiệp Pháp gia
先砍一刀	Trước khảm một đao
1949我来自未来	1949 Ta đến từ tương lai
都市美女狩猎者	Kẻ săn thú mỹ nữ đô thị
战锤40k之远东风暴	Warhammer 40K: Phong bạo viễn đông
美利坚财富人生	Hoa Kỳ đời người tài phú
变身路人女主	Biến thân nữ chủ người qua đường
灰暗之年	Thời kỳ u ám
超级探险直播	Phát trực tiếp thám hiểm siêu cấp
每天都在征服情敌	Mỗi ngày đều tại chinh phục tình địch
穿越到游戏商店	Xuyên qua đến cửa hàng trò chơi
重生之女神养成计划	Trùng sinh: Kế hoạch dưỡng thành nữ thần
重生之激情燃烧岁月	Trùng sinh: Năm tháng kích tình thiêu đốt
濒危修仙门派考察报告	Báo cáo khảoo sát tu tiên môn phái lâm nguy
杀出矩阵：起源	Giết ra cự trận: Khởi nguyên
我的成就有点多	Thành tựu của ta có chút nhiều
方外：消失的八门	Phương ngoại: Bát môn tan biến
老婆爱上我	Lão bà yêu ta
幻想乡玩家	Người chơi Gensōkyō
重生潜入梦	Sống lại lẻn vào mộng
无限之绝对疯狂	Vô hạn: Điên cuồng tuyệt đối
面具的肖像画	Tranh chân dung của mặt nạ
人间无数雨打去	Nhân gian vô số mưa đánh tới
颜值就是正义	Ngoại hình chính là chính nghĩa
网游之混迹在美女工作室	Game online: Trà trộn tại phòng làm việc mỹ nữ
我的苏联	Soviet của ta
水银之血	Dòng máu thuỷ ngân
我夺舍了魔皇	Ta đã đoạt xác Ma Hoàng
穿的是种态度	Xuyên chính là loại thái độ
盛唐烟云	mây khói Thịnh Đường
魔潮起时	Lúc ma triều dâng
偷香	Trộm hương
重生九二之商业大亨	Sống lại 92: Trùm thương nghiệp
无限流传染病	Bệnh truyền nhiễm vô hạn lưu
潘神的游戏	Trò chơi của Pan
地球上最后一个修道者	Kẻ tu đạo cuối cùng trên Địa Cầu
重生之聂小倩	Trùng sinh: Nhiếp Tiểu Thiến
当个法师闹革命	Làm cái pháp sư đùa cách mạng
打开方式错误的异世界	Thế giới khác mở ra phương thức sai lầm
星尘武装	Tinh trần võ trang
明朝伪君子	Minh triều nguỵ quân tử
七十年代学霸	Học bá niên đại 70
女帝直播攻略	Phát trực tiếp công lược Nữ Đế
舔出个未来！	Liếm ra một tương lai!
六朝时空神仙传	Lục triều thời không thần tiên truyện
我是大法师	Ta là đại pháp sư
精分写手成神记	Tay viết tâm thần thành thần ký
破庙有神仙	Miếu đổ nát có thần tiên
别拿穿越不当工作	Đừng nghĩ xuyên qua không phải là công tác
浪迹在武侠世界的道士	Đạo sĩ lưu lạc tại thế giới Võ Hiệp
大航海时代的德鲁伊	Druid của thời đại Đại hàng hải
没有来生	Không có kiếp sau
红男绿女	Trai thanh gái lịch
奶爸的文艺人生	Đời người văn nghệ của vú em
网游之一枪爆头	Game online: Một súng bạo đầu
笔下的另一个世界	Một thế giới khác dưới ngòi bút
我是幸存者	Ta là người sống sót
数据侠客行	Hiệp Khách Hành Digital
静州往事	Câu chuyện Tĩnh Châu
我，旧日支配者	Ta, kẻ chi phối ngày xưa
我的青春恋爱物语没有问题	Câu chuyện tình yêu tuổi trẻ của ta không có vấn đề
星空倒影	Ảnh ngược trời sao
超级指环王	Chúa Nhẫn siêu cấp
重铸未来	Đúc lại tương lai
他改变了大明	Hắn đã thay đổi Đại Minh
第一序列	Danh sách thứ nhất
职业粉丝	Fan hâm mộ chuyên nghiệp
我们是冠军	Chúng ta là quán quân
就算是龙也没问题	Kể cả là rồng cũng không thành vấn đề
随身装着一口泉	Tuỳ thân mang theo một con suối
间桐慎二之我还能活多久	Matou Shinji: Ta còn có thể sống bao lâu
[综]天生反派	[Tổng] Phản phái trời sinh
大唐新秩序	Trật tự mới Đại Đường
东瀛娱乐家	Nhà giải trí Đông doanh
火影之朝佚千名	NARUTO: Triều dật thiên danh
重生之恶魔猎人	Trùng sinh: Thợ săn quỷ
凤凰面具	Mặt nạ Phượng hoàng
重生日本的我，在灵异剧里开无双	Sống lại Nhật Bản ta, tại trong phim thần quái bật vô song
武林高手在校园	Cao thủ võ lâm ở trường học
贞观大闲人	Kẻ rảnh rỗi ở Trinh Quán
我才不要恋爱游戏	Ta mới không cần Galgame
颠覆笑傲江湖	Lật nhào Tiếu Ngạo Giang Hồ
Re:从零开始的黄毛君	Re: Quân lông vàng bắt đầu từ không
带着仓库到大明	Mang theo kho hàng đến Đại Minh
海贼盖伦	Hải tặc Gehlen
第一战场指挥官！	Quan chỉ huy chiến trường thứ nhất!
还看今朝	Còn xem sáng nay
海贼之胜者为王	ONEPIECE: Người thắng làm vua
失落的王权	Vương quyền thất lạc
黑巫师和异端裁判者	Hắc vu sư và Thẩm phán dị giáo
重返1977	Quay lại 1977
重生美国大亨	Sống lại thành trùm nước Mỹ
梦想进化	Mộng tưởng tiến hoá
游戏之狩魔猎人	Trò chơi: Thợ săn quỷ
超级娱乐王朝	Vương triều giải trí siêu cấp
致四千年后	Gửi bốn ngàn năm sau
系统的黑科技网吧	Quán net khoa học của hệ thống
不可名状的日记簿	Sổ nhật ký không thể diễn tả
转生眼中的火影世界	Thế giới NARUTO trong mắt chuyển sinh
苏联1991	Soviet 1991
穷鬼的上下两千年	Hai ngàn năm xuôi ngược của quỷ nghèo
型月幻想乡的超越者	Kẻ siêu việt của Type-Moon Gensōkyō
手术直播间	Phát trực tiếp phòng phẫu thuật
女难之相的端木同学	Bạn Đoan Mộc khuôn mặt nữ tính
未来游戏创始人	Người sáng lập trò chơi tương lai
小市民的奋斗	Sự phấn đấu của dân đen
听说我死后超凶的	Nghe nói sau khi ta chết thật rất hung
蛆蝇尸海剑	Giòi nhặng biển xác kiếm
冰与火之歌：大枭雄	Khúc ca của Lửa và Băng: Đại hiêu hùng
我的美女大小姐	Đại tiểu thư xinh đẹp của ta
快穿之打脸狂魔	Xuyên nhanh: Cuồng ma vả mặt
宋时明月	Trăng sáng thời Tống
主神的自我修养	Sự tu dưỡng bản thân của chủ thần
我家的剑仙大人	Kiếm Tiên đại nhân nhà ta
这锅我不背	Phốt này ta không khiêng
大数据世界	Thế giới big data
里表世界	Thế giới bên trong
死在火星上	Chết ở trên sao Hoả
你为何召唤我	Ngươi vì sao triệu hoán ta
抗日之幸存者	Kháng Nhật: Người sống sót
金庸世界里的道士	Đạo sĩ trong thế giới Kim Dung
哈利波特的防御术课教授	Harry Potter: Giáo sư lớp phòng ngự thuật
时空之门1619	Cửa Thời Không 1619
深渊之主	Chúa tể vực sâu
仙侠世界的日常	Hằng ngày của thế giới tiên hiệp
地上最强生物	Sinh vật mạnh nhất trên mặt đất
飞越泡沫时代	Bay qua thời đại bọt biển
深渊骑士	Kỵ sĩ vực sâu
有妖气客栈	Khách sạn có yêu khí
无限之军火狂人	Vô hạn: Quân hoả cuồng nhân
无限生存游戏	Trò chơi sinh tồn vô hạn
哈利波特与秘密宝藏	Harry Potter cùng Bí mật bảo tàng
太阳的距离	Cự ly của mặt trời
四面墙（我的狱中生活）	Tứ diện tường (sinh hoạt trong ngục của ta)
祸具召唤师	Triệu hoán sư mặt nạ
欺负仇人的女儿难道有错吗	Bắt nạt con gái của kẻ thù chẳng lẽ có sai à
饲养全人类	Chăn nuôi toàn nhân loại
时空旅行者的探险队	Đội lữ hành của người thám hiểm thời không
时光之心	Trái tim thời giờ
辐射的秘密	Bí mật của bức xạ
美食猎人	Thợ săn mỹ thực
黛西在漫威世界	Daisy tại thế giới Marvel
骑士的战争	Chiến tranh của Kỵ sĩ
骑士的沙丘	Cồn cát của Kỵ sĩ
灾厄降临	Tai ách buông xuống
偶像之道	Đạo lý thần tượng
我就是能进球	Ta liền có thể ghi bàn
原始再来	Nguyên thuỷ lại đến
异体——我的绯色天空	Dị thể -- Sắc trời đỏ ửng của ta
当废宅得到系统	Khi phế trạch đạt được hệ thống
我在东京当和尚	Ta ở Tokyo làm hoà thượng
女配不掺和（快穿）	Nữ phối không lẫn vào (xuyên nhanh)
